Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.4323129186605
FDW14,OUT017,1364.0491539906102
NCN55,OUT010,542.9755395973153
FDQ58,OUT017,2384.015126168225
FDY38,OUT027,5669.163351428572
FDH56,OUT046,1874.4309598591558
FDL48,OUT018,754.596095726496
FDC48,OUT027,2513.0798546666674
FDN33,OUT045,1554.0070756410257
FDA36,OUT017,3087.5075112820527
FDT44,OUT017,1874.4309598591558
FDQ56,OUT045,1364.0491539906102
NCC54,OUT019,542.9755395973153
FDU11,OUT049,2054.21570662021
DRL59,OUT013,754.596095726496
FDM24,OUT049,2384.015126168225
FDI57,OUT045,2880.9695613636372
DRC12,OUT018,2880.9695613636372
NCM42,OUT027,3175.3359881578954
FDA46,OUT010,542.9755395973153
FDA31,OUT013,2736.968429875519
NCJ31,OUT035,3593.1412351254467
FDG52,OUT046,754.596095726496
NCL19,OUT019,286.4177705128203
FDS10,OUT035,2880.9695613636372
FDX22,OUT010,542.9755395973153
NCF19,OUT035,754.596095726496
NCE06,OUT046,2384.015126168225
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.4309598591558
NCR42,OUT019,130.33349056603774
FDX51,OUT018,3087.5075112820527
NCR06,OUT018,637.5735090128754
FDU31,OUT027,5669.163351428572
FDU59,OUT017,2384.015126168225
FDR03,OUT027,5669.163351428572
FDS49,OUT027,2513.0798546666674
FDD48,OUT010,286.4177705128203
NCF18,OUT017,2880.9695613636372
NCD43,OUT027,2513.0798546666674
NCD54,OUT018,1936.508247826087
FDY19,OUT010,286.4177705128203
NCY54,OUT017,2997.4076790419144
NCL19,OUT018,2346.648786938776
FDP23,OUT010,542.9755395973153
FDC26,OUT013,1722.3316111731858
FDR14,OUT010,130.33349056603774
NCS41,OUT035,3389.2269793548367
FDF41,OUT035,3593.1412351254467
FDU34,OUT046,2054.21570662021
DRH11,OUT046,876.3205797979805
FDM03,OUT013,1722.3316111731858
FDS31,OUT017,3389.2269793548367
FDJ20,OUT017,2054.21570662021
FDV44,OUT027,5669.163351428572
FDG02,OUT049,3087.5075112820527
FDA09,OUT013,2736.968429875519
FDT04,OUT013,637.5735090128754
FDL58,OUT019,542.9755395973153
FDE52,OUT045,1364.0491539906102
FDW12,OUT035,2384.015126168225
FDL51,OUT017,3753.0000993630556
NCY42,OUT027,3175.3359881578954
FDR07,OUT017,1554.0070756410257
FDN40,OUT045,2384.015126168225
FDB35,OUT027,2513.0798546666674
FDA22,OUT017,2384.015126168225
NCL06,OUT046,4333.891515923565
FDI35,OUT013,3389.2269793548367
NCW42,OUT045,3753.0000993630556
NCX06,OUT049,2736.968429875519
FDC37,OUT027,3175.3359881578954
FDZ14,OUT018,1936.508247826087
DRG49,OUT049,3593.1412351254467
NCG06,OUT045,4105.14011097561
DRC36,OUT045,2997.4076790419144
FDV21,OUT019,286.4177705128203
FDB53,OUT046,2539.3942358778613
DRP47,OUT019,542.9755395973153
FDA14,OUT013,2346.648786938776
DRC24,OUT035,2539.3942358778613
FDW21,OUT018,1509.4323129186605
NCH29,OUT046,1554.0070756410257
FDU58,OUT013,3087.5075112820527
FDY27,OUT017,2736.968429875519
FDV56,OUT035,1722.3316111731858
FDT59,OUT046,4109.900606217616
FDB23,OUT046,3753.0000993630556
FDR49,OUT045,754.596095726496
FDB03,OUT010,542.9755395973153
FDN39,OUT045,2811.181403212851
FDX02,OUT027,5669.163351428572
FDQ16,OUT027,3175.3359881578954
FDU35,OUT018,1509.4323129186605
NCT29,OUT013,1936.508247826087
FDZ27,OUT046,754.596095726496
FDN57,OUT017,2054.21570662021
FDA03,OUT018,2346.648786938776
FDZ36,OUT045,3389.2269793548367
NCU05,OUT013,1248.2233455555554
FDT39,OUT018,2346.648786938776
FDK60,OUT017,1554.0070756410257
FDZ25,OUT017,2811.181403212851
FDG12,OUT046,2202.299020111731
DRB01,OUT019,542.9755395973153
NCC43,OUT027,5669.163351428572
FDX13,OUT019,542.9755395973153
FDM22,OUT049,876.3205797979805
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268264
FDB33,OUT010,384.48867398374
FDP27,OUT046,3087.5075112820527
FDO38,OUT010,130.33349056603774
FDE28,OUT027,5669.163351428572
FDO27,OUT035,1554.0070756410257
DRL23,OUT027,3175.3359881578954
FDS28,OUT046,876.3205797979805
FDX24,OUT013,1248.2233455555554
FDZ02,OUT035,1554.0070756410257
FDL46,OUT045,1874.4309598591558
FDS60,OUT027,5669.163351428572
NCO06,OUT017,552.5502107784432
FDO16,OUT035,1364.0491539906102
FDC60,OUT049,1443.5247018633534
FDA48,OUT018,3327.9525829268264
FDZ36,OUT027,5669.163351428572
FDK27,OUT045,2202.299020111731
FDW23,OUT018,637.5735090128754
FDM14,OUT018,1509.4323129186605
FDM14,OUT013,1722.3316111731858
FDW60,OUT018,2736.968429875519
FDE21,OUT013,1874.4309598591558
NCM42,OUT035,1722.3316111731858
FDY59,OUT010,230.00859181286538
DRI49,OUT049,1248.2233455555554
FDT28,OUT019,384.48867398374
FDQ22,OUT018,637.5735090128754
FDR60,OUT049,1248.2233455555554
FDC50,OUT019,230.00859181286538
FDV24,OUT013,2346.648786938776
DRF48,OUT010,542.9755395973153
FDQ47,OUT046,552.5502107784432
DRN36,OUT049,1509.4323129186605
NCY06,OUT035,2054.21570662021
FDE52,OUT035,1364.0491539906102
NCB54,OUT045,2054.21570662021
NCF31,OUT035,2539.3942358778613
FDJ08,OUT027,5669.163351428572
NCC07,OUT017,1722.3316111731858
NCD19,OUT027,1378.263185276074
FDL46,OUT049,1874.4309598591558
FDM20,OUT045,4109.900606217616
NCI06,OUT010,384.48867398374
DRM11,OUT035,4333.891515923565
NCH07,OUT018,2346.648786938776
FDS23,OUT013,1936.508247826087
FDO49,OUT018,754.596095726496
FDS35,OUT049,1103.1862133333336
DRK39,OUT045,1364.0491539906102
DRI39,OUT049,876.3205797979805
FDV04,OUT017,2384.015126168225
NCN14,OUT035,2880.9695613636372
FDH08,OUT013,4109.900606217616
FDS20,OUT046,3389.2269793548367
FDV40,OUT049,1103.1862133333336
FDZ48,OUT010,230.00859181286538
FDS24,OUT027,2513.0798546666674
FDK44,OUT049,2997.4076790419144
FDS48,OUT045,2539.3942358778613
FDK26,OUT010,542.9755395973153
FDD23,OUT045,3087.5075112820527
NCH54,OUT017,2811.181403212851
NCP14,OUT010,230.00859181286538
FDM60,OUT010,130.33349056603774
FDV24,OUT017,2384.015126168225
FDH08,OUT018,3327.9525829268264
FDS12,OUT027,3175.3359881578954
FDR39,OUT027,5669.163351428572
FDP12,OUT027,1378.263185276074
DRF60,OUT027,5669.163351428572
FDC09,OUT035,1722.3316111731858
FDF50,OUT018,3087.5075112820527
FDG28,OUT035,4109.900606217616
NCE19,OUT017,876.3205797979805
NCM53,OUT010,230.00859181286538
NCN18,OUT049,1509.4323129186605
FDF32,OUT035,3087.5075112820527
FDF11,OUT013,4109.900606217616
DRI59,OUT049,3753.0000993630556
NCG54,OUT035,2811.181403212851
FDM44,OUT046,1722.3316111731858
FDT57,OUT018,3327.9525829268264
FDV24,OUT046,2384.015126168225
FDI50,OUT019,542.9755395973153
FDS09,OUT035,754.596095726496
NCC31,OUT027,4117.3177126315795
FDQ07,OUT019,542.9755395973153
FDC22,OUT017,3087.5075112820527
FDZ56,OUT046,2811.181403212851
FDZ40,OUT019,130.33349056603774
FDS46,OUT027,3175.3359881578954
DRD24,OUT045,2202.299020111731
FDV45,OUT017,3087.5075112820527
FDL26,OUT045,2539.3942358778613
FDA56,OUT018,1936.508247826087
FDN27,OUT046,1874.4309598591558
FDM20,OUT049,4109.900606217616
FDO16,OUT017,1364.0491539906102
FDL03,OUT035,2880.9695613636372
FDE58,OUT046,1874.4309598591558
FDI02,OUT027,3175.3359881578954
NCC55,OUT019,130.33349056603774
FDR03,OUT018,3327.9525829268264
FDB14,OUT017,1364.0491539906102
FDR45,OUT013,4109.900606217616
NCN07,OUT017,2202.299020111731
FDM51,OUT019,230.00859181286538
FDT52,OUT027,5669.163351428572
FDL26,OUT046,2539.3942358778613
NCZ42,OUT046,4109.900606217616
DRI47,OUT019,384.48867398374
FDW40,OUT013,1936.508247826087
FDN34,OUT046,2811.181403212851
FDS01,OUT035,2736.968429875519
NCG55,OUT045,1874.4309598591558
FDC11,OUT035,1364.0491539906102
FDX35,OUT018,3327.9525829268264
NCB06,OUT046,2811.181403212851
FDR09,OUT019,542.9755395973153
FDC53,OUT017,1554.0070756410257
FDY45,OUT013,4105.14011097561
FDA22,OUT010,384.48867398374
FDE02,OUT035,1554.0070756410257
FDW21,OUT045,1722.3316111731858
FDV34,OUT046,1103.1862133333336
FDS59,OUT049,1509.4323129186605
NCW17,OUT017,2202.299020111731
NCK54,OUT046,1874.4309598591558
FDG17,OUT019,542.9755395973153
FDG35,OUT017,2997.4076790419144
FDD08,OUT010,130.33349056603774
NCO07,OUT017,3753.0000993630556
FDJ10,OUT010,286.4177705128203
FDW36,OUT017,1722.3316111731858
FDW21,OUT010,230.00859181286538
FDY19,OUT017,1874.4309598591558
DRE03,OUT013,754.596095726496
NCC55,OUT049,637.5735090128754
FDH52,OUT010,130.33349056603774
FDO09,OUT017,4105.14011097561
FDU43,OUT045,4109.900606217616
FDX09,OUT010,384.48867398374
FDH40,OUT019,230.00859181286538
FDW58,OUT017,1722.3316111731858
FDC47,OUT017,3593.1412351254467
NCR41,OUT035,1554.0070756410257
DRG49,OUT035,3593.1412351254467
FDC52,OUT027,4117.3177126315795
FDY13,OUT046,1103.1862133333336
FDY35,OUT013,637.5735090128754
FDI35,OUT017,3389.2269793548367
NCU18,OUT049,2054.21570662021
FDY33,OUT018,2346.648786938776
FDC15,OUT027,4117.3177126315795
FDU01,OUT049,2880.9695613636372
NCU42,OUT046,2811.181403212851
NCV29,OUT018,2736.968429875519
NCY30,OUT017,2880.9695613636372
FDQ46,OUT049,1509.4323129186605
FDG58,OUT027,4117.3177126315795
FDK33,OUT017,3753.0000993630556
NCD07,OUT045,1874.4309598591558
NCX29,OUT027,4117.3177126315795
NCT42,OUT013,2346.648786938776
DRN59,OUT035,754.596095726496
FDI44,OUT035,1364.0491539906102
FDA45,OUT049,2736.968429875519
FDP31,OUT045,1103.1862133333336
FDY01,OUT046,1874.4309598591558
FDT09,OUT018,1936.508247826087
DRH03,OUT027,2513.0798546666674
FDA36,OUT018,3087.5075112820527
NCF31,OUT017,2539.3942358778613
FDG14,OUT049,2539.3942358778613
FDG28,OUT027,5669.163351428572
FDU14,OUT049,4105.14011097561
FDY47,OUT019,286.4177705128203
FDI56,OUT049,1443.5247018633534
DRD01,OUT013,876.3205797979805
FDM22,OUT046,876.3205797979805
FDH33,OUT013,637.5735090128754
DRZ24,OUT013,1874.4309598591558
NCQ38,OUT046,1722.3316111731858
FDO16,OUT027,2513.0798546666674
FDU07,OUT027,4117.3177126315795
NCB07,OUT013,2880.9695613636372
FDU48,OUT045,2054.21570662021
NCM43,OUT045,2811.181403212851
FDR31,OUT010,384.48867398374
DRK49,OUT018,637.5735090128754
NCI30,OUT010,542.9755395973153
DRD60,OUT017,3389.2269793548367
NCG19,OUT046,3593.1412351254467
FDH12,OUT035,1722.3316111731858
FDM32,OUT035,1364.0491539906102
FDM27,OUT035,2539.3942358778613
NCU53,OUT027,4117.3177126315795
NCQ18,OUT046,1554.0070756410257
FDS10,OUT013,2736.968429875519
FDB33,OUT027,4117.3177126315795
FDI12,OUT013,1248.2233455555554
NCW42,OUT013,3753.0000993630556
NCC06,OUT018,1936.508247826087
FDW02,OUT017,2202.299020111731
NCD43,OUT017,1722.3316111731858
FDM57,OUT018,1248.2233455555554
FDA58,OUT017,3593.1412351254467
FDK56,OUT046,3389.2269793548367
FDP52,OUT045,4109.900606217616
FDW20,OUT018,1936.508247826087
FDS52,OUT049,1509.4323129186605
NCT29,OUT018,1936.508247826087
NCL54,OUT013,2736.968429875519
FDC05,OUT045,3087.5075112820527
FDF34,OUT035,3087.5075112820527
FDP03,OUT027,3175.3359881578954
FDD32,OUT010,230.00859181286538
FDZ10,OUT045,2054.21570662021
FDZ40,OUT035,876.3205797979805
FDD51,OUT018,637.5735090128754
NCY30,OUT019,384.48867398374
FDP58,OUT017,3593.1412351254467
FDV49,OUT017,4333.891515923565
FDY24,OUT019,130.33349056603774
NCO55,OUT017,1722.3316111731858
FDR13,OUT017,1874.4309598591558
FDS51,OUT017,876.3205797979805
FDP26,OUT045,1722.3316111731858
NCB54,OUT027,3175.3359881578954
FDF32,OUT017,3087.5075112820527
FDN31,OUT018,3087.5075112820527
DRM48,OUT017,552.5502107784432
FDN20,OUT049,2811.181403212851
DRL01,OUT046,3593.1412351254467
FDV56,OUT049,1509.4323129186605
DRH13,OUT027,3175.3359881578954
FDA03,OUT017,2539.3942358778613
FDF47,OUT027,5669.163351428572
FDX32,OUT046,2539.3942358778613
FDX57,OUT049,1509.4323129186605
NCA30,OUT045,2880.9695613636372
FDO49,OUT013,754.596095726496
FDL04,OUT019,230.00859181286538
DRM48,OUT035,552.5502107784432
FDR16,OUT013,3593.1412351254467
NCC19,OUT018,3087.5075112820527
NCE42,OUT045,4109.900606217616
FDY24,OUT017,876.3205797979805
FDH19,OUT049,2736.968429875519
FDJ46,OUT013,2997.4076790419144
FDN45,OUT010,542.9755395973153
FDY08,OUT035,2054.21570662021
FDZ37,OUT035,1364.0491539906102
NCT30,OUT045,754.596095726496
DRY23,OUT018,637.5735090128754
NCZ30,OUT018,1936.508247826087
FDC44,OUT018,1874.4309598591558
FDB45,OUT035,1722.3316111731858
FDY04,OUT013,2346.648786938776
FDM27,OUT046,2811.181403212851
FDZ43,OUT017,4109.900606217616
FDT39,OUT019,384.48867398374
NCC06,OUT019,286.4177705128203
FDL15,OUT027,4117.3177126315795
FDL57,OUT017,4333.891515923565
FDU08,OUT046,1554.0070756410257
FDK40,OUT017,4105.14011097561
FDQ12,OUT010,542.9755395973153
FDS48,OUT017,2539.3942358778613
FDP09,OUT045,3753.0000993630556
FDW21,OUT049,1509.4323129186605
FDY25,OUT035,3389.2269793548367
DRE13,OUT017,1443.5247018633534
FDV43,OUT019,130.33349056603774
FDD22,OUT045,1722.3316111731858
FDM46,OUT019,230.00859181286538
NCO30,OUT010,542.9755395973153
FDM25,OUT046,2997.4076790419144
NCN41,OUT049,2054.21570662021
FDU24,OUT045,1364.0491539906102
FDZ50,OUT046,3389.2269793548367
FDP45,OUT013,4333.891515923565
NCM54,OUT045,2054.21570662021
FDW10,OUT019,384.48867398374
FDP20,OUT017,2054.21570662021
FDK32,OUT046,2539.3942358778613
FDN52,OUT049,1248.2233455555554
FDM58,OUT045,1722.3316111731858
FDZ46,OUT027,3175.3359881578954
NCA18,OUT018,1874.4309598591558
FDD35,OUT046,2202.299020111731
NCK31,OUT035,754.596095726496
FDI40,OUT027,2513.0798546666674
FDT50,OUT019,230.00859181286538
NCT06,OUT046,2811.181403212851
FDT31,OUT035,2880.9695613636372
FDT45,OUT049,876.3205797979805
FDT13,OUT045,3087.5075112820527
FDO50,OUT045,1364.0491539906102
NCU18,OUT010,286.4177705128203
NCR54,OUT049,3087.5075112820527
NCO18,OUT018,2736.968429875519
FDU09,OUT045,876.3205797979805
FDT13,OUT018,3087.5075112820527
FDE09,OUT046,1722.3316111731858
NCK53,OUT019,230.00859181286538
FDG45,OUT049,3593.1412351254467
DRH15,OUT035,637.5735090128754
FDO21,OUT019,542.9755395973153
FDD14,OUT027,5669.163351428572
FDC09,OUT046,1722.3316111731858
FDH45,OUT027,1378.263185276074
FDV32,OUT046,1103.1862133333336
FDG12,OUT035,1874.4309598591558
FDS32,OUT013,1936.508247826087
NCL55,OUT018,3327.9525829268264
DRE01,OUT035,3593.1412351254467
DRE15,OUT049,1248.2233455555554
NCL42,OUT045,4109.900606217616
FDP31,OUT013,1103.1862133333336
FDN33,OUT018,1248.2233455555554
FDZ59,OUT046,2384.015126168225
FDE45,OUT010,384.48867398374
FDJ07,OUT013,1874.4309598591558
FDQ45,OUT018,3389.2269793548367
FDM33,OUT027,5669.163351428572
FDO15,OUT010,130.33349056603774
FDM46,OUT013,1443.5247018633534
FDR03,OUT045,3753.0000993630556
FDY49,OUT018,2346.648786938776
FDQ60,OUT045,1874.4309598591558
FDW10,OUT049,2736.968429875519
FDO51,OUT049,637.5735090128754
FDJ40,OUT018,1509.4323129186605
FDS20,OUT018,3389.2269793548367
FDU45,OUT013,1874.4309598591558
FDV02,OUT035,2811.181403212851
FDN09,OUT046,4109.900606217616
NCM55,OUT027,5669.163351428572
FDN23,OUT018,2346.648786938776
FDY31,OUT010,384.48867398374
FDW03,OUT010,230.00859181286538
FDD14,OUT046,2880.9695613636372
FDV23,OUT017,2054.21570662021
DRI03,OUT045,2736.968429875519
FDN13,OUT035,1554.0070756410257
FDF45,OUT027,1378.263185276074
FDU46,OUT035,1364.0491539906102
FDB57,OUT049,3753.0000993630556
FDV12,OUT049,1509.4323129186605
FDQ58,OUT013,2346.648786938776
NCA18,OUT017,1874.4309598591558
FDH52,OUT049,876.3205797979805
FDM24,OUT018,2346.648786938776
NCP43,OUT027,5669.163351428572
NCO18,OUT019,384.48867398374
FDM32,OUT017,1364.0491539906102
NCL07,OUT017,552.5502107784432
FDK03,OUT013,4333.891515923565
FDP59,OUT017,1722.3316111731858
FDQ24,OUT049,4105.14011097561
FDQ16,OUT018,1509.4323129186605
FDU44,OUT013,2346.648786938776
FDH28,OUT010,130.33349056603774
FDV28,OUT019,130.33349056603774
FDM22,OUT045,876.3205797979805
FDR56,OUT046,3087.5075112820527
FDV39,OUT049,3087.5075112820527
FDU37,OUT019,130.33349056603774
FDQ11,OUT010,542.9755395973153
FDX02,OUT045,3753.0000993630556
NCS42,OUT018,1248.2233455555554
FDY57,OUT027,2513.0798546666674
FDB21,OUT049,3593.1412351254467
FDE28,OUT017,3593.1412351254467
FDQ55,OUT017,1874.4309598591558
FDA48,OUT049,3593.1412351254467
FDZ19,OUT045,2997.4076790419144
NCC43,OUT045,4105.14011097561
NCV18,OUT046,1443.5247018633534
NCA42,OUT018,2346.648786938776
FDY45,OUT046,4105.14011097561
NCC30,OUT045,2736.968429875519
FDM57,OUT013,1443.5247018633534
FDL09,OUT010,384.48867398374
FDB09,OUT027,3175.3359881578954
FDT44,OUT035,1874.4309598591558
NCT06,OUT027,4117.3177126315795
FDX26,OUT049,3389.2269793548367
FDK32,OUT013,2346.648786938776
DRA12,OUT046,2202.299020111731
FDO46,OUT010,542.9755395973153
FDE52,OUT013,1248.2233455555554
NCH42,OUT045,4109.900606217616
FDV08,OUT035,637.5735090128754
FDB47,OUT018,3327.9525829268264
FDC28,OUT010,230.00859181286538
FDD22,OUT046,1874.4309598591558
FDS07,OUT027,3175.3359881578954
DRI13,OUT045,3753.0000993630556
FDG32,OUT018,3327.9525829268264
FDU14,OUT017,4105.14011097561
FDD28,OUT019,130.33349056603774
NCP41,OUT017,1722.3316111731858
FDS08,OUT049,2736.968429875519
FDX47,OUT045,2384.015126168225
FDC53,OUT019,230.00859181286538
FDQ19,OUT035,4109.900606217616
FDL14,OUT045,2384.015126168225
FDM33,OUT019,542.9755395973153
FDA51,OUT045,1874.4309598591558
FDZ27,OUT018,754.596095726496
FDT04,OUT046,637.5735090128754
DRC13,OUT049,2202.299020111731
FDR16,OUT027,5669.163351428572
FDQ03,OUT027,5669.163351428572
FDE38,OUT035,2384.015126168225
DRH23,OUT027,1378.263185276074
FDT11,OUT019,542.9755395973153
FDD09,OUT035,2736.968429875519
FDR40,OUT045,1364.0491539906102
FDX07,OUT017,2880.9695613636372
FDR07,OUT035,1554.0070756410257
FDA51,OUT017,1874.4309598591558
FDT59,OUT019,542.9755395973153
FDF20,OUT017,3087.5075112820527
FDR13,OUT045,1874.4309598591558
FDY26,OUT049,3753.0000993630556
FDW04,OUT017,2054.21570662021
FDK52,OUT017,3593.1412351254467
FDN60,OUT049,2811.181403212851
FDM09,OUT019,384.48867398374
FDP46,OUT049,1248.2233455555554
FDB50,OUT019,130.33349056603774
NCQ29,OUT049,4105.14011097561
FDP16,OUT027,5669.163351428572
FDX33,OUT018,2346.648786938776
FDP07,OUT010,542.9755395973153
FDN22,OUT046,4105.14011097561
FDF39,OUT049,4105.14011097561
FDS21,OUT017,876.3205797979805
NCM42,OUT013,1722.3316111731858
FDK50,OUT019,384.48867398374
DRF13,OUT027,4117.3177126315795
FDH35,OUT018,2346.648786938776
FDP60,OUT018,1509.4323129186605
DRJ49,OUT027,3175.3359881578954
NCT42,OUT019,384.48867398374
FDE38,OUT049,2384.015126168225
FDI04,OUT049,3087.5075112820527
NCH54,OUT045,2811.181403212851
FDT56,OUT049,876.3205797979805
DRD15,OUT018,3327.9525829268264
FDV58,OUT013,2880.9695613636372
FDP21,OUT049,3087.5075112820527
FDH05,OUT013,3593.1412351254467
FDR10,OUT027,4117.3177126315795
NCP06,OUT045,2539.3942358778613
FDF33,OUT049,1509.4323129186605
DRK37,OUT013,3087.5075112820527
DRH49,OUT045,1364.0491539906102
FDT58,OUT013,2346.648786938776
FDD41,OUT018,1509.4323129186605
FDP40,OUT018,1509.4323129186605
FDM51,OUT027,2513.0798546666674
FDO45,OUT010,230.00859181286538
FDW33,OUT010,230.00859181286538
FDY24,OUT045,876.3205797979805
FDB10,OUT010,542.9755395973153
FDM40,OUT035,2054.21570662021
NCI06,OUT017,3389.2269793548367
FDW12,OUT019,384.48867398374
FDX48,OUT027,4117.3177126315795
NCW05,OUT027,3175.3359881578954
FDX27,OUT017,1554.0070756410257
DRM37,OUT045,3087.5075112820527
FDA38,OUT045,4109.900606217616
FDR36,OUT046,637.5735090128754
FDZ45,OUT046,3087.5075112820527
FDG05,OUT017,2811.181403212851
FDK28,OUT013,4333.891515923565
FDV47,OUT045,1364.0491539906102
FDN21,OUT045,2811.181403212851
FDP20,OUT027,3175.3359881578954
FDI35,OUT045,3389.2269793548367
DRY23,OUT013,637.5735090128754
FDA56,OUT017,2202.299020111731
FDB09,OUT013,1936.508247826087
NCO26,OUT027,3175.3359881578954
FDQ49,OUT018,2346.648786938776
FDI52,OUT027,3175.3359881578954
FDZ44,OUT027,3175.3359881578954
FDZ09,OUT018,2346.648786938776
FDY03,OUT049,1874.4309598591558
NCG42,OUT017,2202.299020111731
DRI13,OUT027,5669.163351428572
FDQ32,OUT013,1936.508247826087
FDW16,OUT035,1443.5247018633534
FDU27,OUT046,754.596095726496
FDR28,OUT010,384.48867398374
FDQ49,OUT010,384.48867398374
FDS37,OUT046,1874.4309598591558
